ID,iter,ns,bv,p,r
505057,1,10,1.349200847,0.038811071,1
505080,1,10,1.569055979,0.118615408,1
505090,1,10,1.288022619,0.017309393,1
505101,1,10,1.316730012,0.027437898,1
505107,1,10,1.303693215,0.010501216,1
505116,1,10,1.620835722,0.129523801,1
505146,1,10,1.29009325,0.019428855,1
505174,1,10,1.598143741,0.13674033,1
505183,1,10,1.404898299,0.032049294,1
505204,1,10,1.362958866,0.01,1
505217,1,10,1.397257093,0.059368515,1
505360,1,10,1.463029547,0.088627673,1
505366,1,10,1.421328122,0.067688915,1
505377,1,10,1.433447633,0.064946201,1
505386,1,10,1.346027991,0.015924362,1
505388,1,10,1.320576389,0.013639515,1
505392,1,10,1.67518819,0.149387552,1
